Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
696abdc6abbcb64c45da8693,65c25e3de8b230c294f2b32c,APPROVED,Not Applicable,2026-01-16T22:37:58.438000Z,2026-01-16T22:52:17.830000Z,2026-01-17T03:30:15.697000Z,2026-01-16T22:52:18.187355Z,860.0,CNYPV5QR,3830,52,Female,White,United States,United States,United States,English,No,Full-Time
696abdcc16b87f7dd9398de5,63f8ce09e792bf06684febec,APPROVED,Not Applicable,2026-01-16T22:43:30.105000Z,2026-01-16T22:51:51.450000Z,2026-01-17T03:30:15.970000Z,2026-01-16T22:51:51.868175Z,502.0,CNYPV5QR,4343,34,Male,Other,United States,United States,United States,English,Yes,Part-Time
696abdd204c217dcb3fb2183,6521ab1c4a2ffd6c21a3b662,APPROVED,Not Applicable,2026-01-16T22:38:14.098000Z,2026-01-16T22:46:30.222000Z,2026-01-17T03:30:16.278000Z,2026-01-16T22:46:30.553871Z,497.0,CNYPV5QR,2866,26,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
696abdded2c76e6071ccf867,5bb9807fe04fca0001436211,APPROVED,Not Applicable,2026-01-16T22:38:27.549000Z,2026-01-16T22:49:34.846000Z,2026-01-17T03:30:16.546000Z,2026-01-16T22:49:36.227426Z,668.0,CNYPV5QR,2293,52,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
696abdf3d4482b510157be6e,66520f31e4b5df0b6b365ed3,APPROVED,Not Applicable,2026-01-16T22:38:48.321000Z,2026-01-16T22:59:38.056000Z,2026-01-17T03:30:16.816000Z,2026-01-16T22:59:38.395070Z,1250.0,CNYPV5QR,1786,48,Female,Asian,United States,United States,United States,English,No,Full-Time
696abe3b39c7ecf9bdfb2a3f,671bf57baf2c2374636a8c4d,APPROVED,Not Applicable,2026-01-16T22:40:00.732000Z,2026-01-16T22:49:30.373000Z,2026-01-17T03:30:17.086000Z,2026-01-16T22:49:36.014306Z,570.0,CNYPV5QR,3993,52,Male,White,United States,United States,United States,English,No,Full-Time
696abe42302cc68ae59407b8,678e9e2ffd972545982440e9,APPROVED,Not Applicable,2026-01-16T22:40:04.576000Z,2026-01-16T22:49:35.407000Z,2026-01-17T03:30:17.339000Z,2026-01-16T22:49:36.054554Z,571.0,CNYPV5QR,496,34,Male,White,United States,United States,United States,English,No,Full-Time
696abe54037376da3f9c4ab5,651f8c9561bba4367911484c,APPROVED,Not Applicable,2026-01-16T22:40:24.534000Z,2026-01-16T22:47:49.413000Z,2026-01-17T03:30:17.625000Z,2026-01-16T22:47:49.753678Z,445.0,CNYPV5QR,1241,39,Male,Asian,United States,United States,Philippines,English,No,Part-Time
696abe5cb81a801cd16e3f30,6562177a48308eebbb6359ea,APPROVED,Not Applicable,2026-01-16T22:40:32.940000Z,2026-01-16T22:52:20.820000Z,2026-01-17T03:30:17.891000Z,2026-01-16T22:52:21.203104Z,708.0,CNYPV5QR,8982,53,Male,White,United States,United States,United States,English,No,Full-Time
696abe684d2ee252aed8b5d8,5f49f3262a3d07563d14a7f1,APPROVED,Not Applicable,2026-01-16T22:40:45.759000Z,2026-01-16T23:00:29.116000Z,2026-01-17T03:30:18.142000Z,2026-01-16T23:00:29.462600Z,1184.0,CNYPV5QR,7525,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
696abe6fd297e16f26d56421,696045a3e464213c52ceb0bd,APPROVED,Not Applicable,2026-01-16T22:40:58.330000Z,2026-01-16T22:54:55.392000Z,2026-01-17T03:30:18.401000Z,2026-01-16T22:54:55.763145Z,838.0,CNYPV5QR,179,37,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
696abe70c20590b561d7565a,67a62f17a81104f3f22f32e8,APPROVED,Not Applicable,2026-01-16T22:40:52.909000Z,2026-01-16T22:50:13.051000Z,2026-01-17T03:30:18.665000Z,2026-01-16T22:50:13.445982Z,561.0,CNYPV5QR,3737,46,Male,Mixed,United States,United States,United States,English,No,Full-Time
696abe80ffcf206851d8a5aa,6757069f8e2b810b4fabd66b,APPROVED,Not Applicable,2026-01-16T22:41:08.316000Z,2026-01-16T23:13:43.530000Z,2026-01-17T03:30:18.952000Z,2026-01-16T23:13:43.864168Z,1956.0,CNYPV5QR,3504,47,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
696abe8b5bb6f5a7cdc0e369,65d108195f912aa497e054c5,APPROVED,Not Applicable,2026-01-16T22:41:22.630000Z,2026-01-16T22:52:38.495000Z,2026-01-17T03:30:19.208000Z,2026-01-16T22:52:38.827944Z,676.0,CNYPV5QR,2002,28,Female,Asian,United States,United States,United States,English,No,Full-Time
696abebea52225f265d56d6d,5fa2b9a3c1d67f3a311db672,APPROVED,Not Applicable,2026-01-16T22:42:10.849000Z,2026-01-16T22:49:17.348000Z,2026-01-17T03:30:19.453000Z,2026-01-16T22:49:17.876390Z,427.0,CNYPV5QR,6369,28,Female,White,United States,United States,United States,English,No,Full-Time
696abec4d427f7bf31186010,5eb080ccaf87d11143472477,APPROVED,Not Applicable,2026-01-16T22:42:50.087000Z,2026-01-16T22:52:24.894000Z,2026-01-17T03:30:19.708000Z,2026-01-16T22:52:25.252511Z,575.0,CNYPV5QR,8246,27,Female,Mixed,United States,United States,United States,English,Yes,Full-Time
696abec54f888ded940d9397,62f58a7129fb13cf46a08ae0,APPROVED,Not Applicable,2026-01-16T22:42:16.792000Z,2026-01-16T22:49:07.510000Z,2026-01-17T03:30:19.965000Z,2026-01-16T22:49:07.894577Z,411.0,CNYPV5QR,4261,32,Male,White,United States,United States,United States,English,No,Other
696abed09a91291d653013fd,61118b5fd788969295997051,APPROVED,Not Applicable,2026-01-16T22:42:30.168000Z,2026-01-16T22:51:27.751000Z,2026-01-17T03:30:20.218000Z,2026-01-16T22:51:28.108944Z,538.0,CNYPV5QR,1516,22,Female,White,United States,United States,United States,English,Yes,Full-Time
